date,numbikes,log_numbikes
2011-01-01,959,6.8658910748834385
2011-01-02,781,6.660575149839686
2011-01-03,1301,7.170888478512505
2011-01-04,1536,7.336936913707618
2011-01-05,1571,7.359467638255621
2011-01-06,1573,7.360739903058278
2011-01-07,1493,7.30854279753919
2011-01-08,939,6.844815479208263
2011-01-09,802,6.687108607866515
2011-01-10,1298,7.168579897264035
2011-01-11,1231,7.115582126184454
2011-01-12,1141,7.039660349862076
2011-01-13,1383,7.232010331664759
2011-01-14,1384,7.232733136177615
2011-01-15,1240,7.122866658599083
2011-01-16,1188,7.080026499922591
2011-01-17,993,6.900730664045173
2011-01-18,672,6.51025834052315
2011-01-19,1631,7.396948602621014
2011-01-20,1896,7.547501682814967
2011-01-21,1522,7.3277805384216315
2011-01-22,969,6.876264611890766
2011-01-23,977,6.884486652042782
2011-01-24,1405,7.247792581767846
2011-01-25,1971,7.58629630715272
2011-01-26,500,6.214608098422191
2011-01-27,424,6.049733455231958
2011-01-28,1151,7.048386408721883
2011-01-29,1070,6.975413927455952
2011-01-30,1084,6.988413181999592
2011-01-31,1418,7.257002707092073
2011-02-01,1331,7.193685818395112
2011-02-02,1502,7.31455283232408
2011-02-03,1534,7.335633981927201
2011-02-04,1691,7.43307534889858
2011-02-05,992,6.899723107284872
2011-02-06,1603,7.3796321526095525
2011-02-07,1687,7.430707082545968
2011-02-08,1510,7.31986492980897
2011-02-09,1592,7.3727463664043285
2011-02-10,1520,7.326465613840322
2011-02-11,1724,7.452402451223638
2011-02-12,1455,7.282761179605593
2011-02-13,1558,7.351158226430694
2011-02-14,1892,7.545389749611823
2011-02-15,1780,7.484368643286131
2011-02-16,2079,7.639642287858013
2011-02-17,2443,7.8009820712577405
2011-02-18,2892,7.969703583278656
2011-02-19,1609,7.3833681469923835
2011-02-20,1787,7.488293515159428
2011-02-21,1093,6.996681488176539
2011-02-22,1432,7.266827347520591
2011-02-23,1879,7.538494999413465
2011-02-24,1786,7.487733761436444
2011-02-25,1443,7.274479558773871
2011-02-26,1943,7.57198844937744
2011-02-27,2371,7.771067086065406
2011-02-28,1430,7.265429723253953
2011-03-01,1832,7.513163545234075
2011-03-02,2109,7.653969180478774
2011-03-03,1659,7.413970290190444
2011-03-04,1923,7.56164174558878
2011-03-05,2054,7.627544390488503
2011-03-06,582,6.366470447731438
2011-03-07,1842,7.518607216815252
2011-03-08,2097,7.64826303090192
2011-03-09,1868,7.532623618788788
2011-03-10,616,6.423246963533519
2011-03-11,1953,7.577121930876679
2011-03-12,2104,7.651595573857601
2011-03-13,2375,7.772752716468742
2011-03-14,2032,7.616775808698373
2011-03-15,2024,7.6128310304073565
2011-03-16,2172,7.683403681053826
2011-03-17,2718,7.907651594711089
2011-03-18,3194,8.069029328774958
2011-03-19,3056,8.024862150286411
2011-03-20,2418,7.790696031174738
2011-03-21,2058,7.629489916393995
2011-03-22,2667,7.888709524182015
2011-03-23,2101,7.650168700845001
2011-03-24,1844,7.519692404116539
2011-03-25,2186,7.689828668736484
2011-03-26,2458,7.80710329012598
2011-03-27,1665,7.417580402414544
2011-03-28,2004,7.602900462204755
2011-03-29,2397,7.781973234434385
2011-03-30,1519,7.325807502595773
2011-03-31,1668,7.419380582918692
2011-04-01,2192,7.692569648067906
2011-04-02,2225,7.707512194600341
2011-04-03,3212,8.074649075066652
2011-04-04,3079,8.0323601479245
2011-04-05,1768,7.477604243197589
2011-04-06,2776,7.9287663216266955
2011-04-07,3001,8.006700845440367
2011-04-08,1454,7.282073658093465
2011-04-09,2428,7.794823152179389
2011-04-10,2850,7.955074273262696
2011-04-11,3304,8.102889134640868
2011-04-12,1997,7.599401333415815
2011-04-13,2128,7.662937850461535
2011-04-14,3210,8.07402621612406
2011-04-15,3083,8.03365842788615
2011-04-16,775,6.652863029353347
2011-04-17,3678,8.210124405164267
2011-04-18,3369,8.122371243406553
2011-04-19,3139,8.051659556841953
2011-04-20,3898,8.268218880067506
2011-04-21,3992,8.292047637431354
2011-04-22,1648,7.4073177104694174
2011-04-23,3970,8.286521373681236
2011-04-24,4116,8.32263709695394
2011-04-25,4021,8.299285906897275
2011-04-26,4331,8.373553741214627
2011-04-27,3809,8.245121966478605
2011-04-28,3996,8.293049139768444
2011-04-29,4437,8.39773375137891
2011-04-30,5214,8.559102594493448
2011-05-01,3295,8.100161446936607
2011-05-02,4329,8.37309184744198
2011-05-03,4366,8.38160253710989
2011-05-04,2595,7.861341795599989
2011-05-05,4338,8.37516869138682
2011-05-06,4536,8.419800845407588
2011-05-07,4616,8.437283808187935
2011-05-08,4245,8.353497098745448
2011-05-09,4283,8.36240897761537
2011-05-10,4733,8.462314529906248
2011-05-11,4104,8.319717386850606
2011-05-12,4770,8.470101583882387
2011-05-13,4038,8.303504798872783
2011-05-14,3352,8.117312461601975
2011-05-15,4484,8.40827078419205
2011-05-16,3909,8.271036865792954
2011-05-17,4067,8.310660905907225
2011-05-18,3812,8.245909264774093
2011-05-19,4503,8.412499120301572
2011-05-20,4844,8.485496104672983
2011-05-21,5731,8.653645314551737
2011-05-22,4596,8.432941638968646
2011-05-23,4224,8.348537825386098
2011-05-24,4422,8.394347361417392
2011-05-25,4917,8.50045386741194
2011-05-26,4631,8.440528106480752
2011-05-27,4622,8.438582790834326
2011-05-28,4693,8.453827315794417
2011-05-29,4743,8.464425125877582
2011-05-30,4047,8.305731144875866
2011-05-31,3940,8.27893600229198
2011-06-01,3931,8.27664912542186
2011-06-02,4912,8.499436469826978
2011-06-03,5242,8.564458383883352
2011-06-04,5248,8.565602330623925
2011-06-05,4859,8.488587934405903
2011-06-06,4488,8.409162447202533
2011-06-07,4783,8.472823243680297
2011-06-08,4358,8.379768515504566
2011-06-09,3889,8.265907334155747
2011-06-10,4540,8.420682291035394
2011-06-11,4902,8.497398564088058
2011-06-12,4407,8.390949464841986
2011-06-13,4969,8.51097389160232
2011-06-14,4829,8.482394685873542
2011-06-15,5123,8.541495483939203
2011-06-16,3725,8.22282213081366
2011-06-17,4772,8.470520783217808
2011-06-18,5054,8.52793528794814
2011-06-19,4676,8.450198322591959
2011-06-20,3967,8.28576542051433
2011-06-21,4769,8.469891918298224
2011-06-22,4445,8.399535147948004
2011-06-23,4724,8.460411177317253
2011-06-24,4930,8.503094267036737
2011-06-25,5114,8.539737155851132
2011-06-26,5241,8.564267598802166
2011-06-27,4655,8.445697189711167
2011-06-28,4580,8.429454277108231
2011-06-29,5155,8.54772239645106
2011-06-30,5456,8.604471199523298
2011-07-01,5296,8.574707097616844
2011-07-02,5052,8.527539483470381
2011-07-03,4591,8.431853144249223
2011-07-04,5975,8.695339376799712
2011-07-05,4614,8.4368504387337
2011-07-06,4569,8.427049641563272
2011-07-07,4507,8.413387022690648
2011-07-08,3979,8.288785810426928
2011-07-09,5268,8.569406062863171
2011-07-10,4827,8.481980435660493
2011-07-11,4040,8.303999970955196
2011-07-12,4207,8.344505083590521
2011-07-13,4289,8.36380888451688
2011-07-14,5017,8.520587424484253
2011-07-15,5475,8.607947554684701
2011-07-16,5847,8.67368398817567
2011-07-17,5245,8.565030520830398
2011-07-18,4404,8.390268497842571
2011-07-19,4469,8.404919948933452
2011-07-20,4273,8.360071435644025
