"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-01","3.2",",,W","0.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"14.4",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-02","4.9",",,W","1.5",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.0",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-03","4.6",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.0",",,X","-2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-04","2.9",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"6.1",",,X","-3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-05","3.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"6.1",",,X","-0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-06","2.1",",,W","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"5.0",",,X","-2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-07","3.2",",,W","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"1.7",",,X","-0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-08","5.1",",,W","0.5",",,X,2400","10.0",",,X,","0.0","T,,X,",,,"1.7",",,X","-4.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-09","6.7",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"2.2",",,X","-5.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-10","4.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"1.7",",,X","-3.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-11","1.8",",,W","2.8",",,X,2400","25.0",",,X,","0.0",",,X,",,,"1.1",",,X","-2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-12","5.6",",,W","0.0",",,X,2400","0.0",",,X,","25.0",",,X,",,,"2.2",",,X","-2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-13","5.5",",,W","0.0",",,X,2400","0.0",",,X,","0.0","T,,X,",,,"2.8",",,X","-3.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-01-14","2.4",",,W","0.0",",,X,2400","0.0",",,X,","0.0","T,,X,",,,"2.8",",,X","-5.0",",,X"
